股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.600998,2536.0,5.34175567738959,0.9642932585039509,3.56598944,4.69630596,5.24282304,5.810544945,10.45800603,1.358947150476231,3.8419399283566245
sh.600999,2536.0,13.762075556348579,2.980881046463764,8.01231685,11.741350650000001,13.018470090000001,15.59342116,24.4902839,0.9346492387590014,0.5171739086042693
sh.601006,2548.0,5.325137945298273,0.8413036105292522,3.433902,4.80220972,5.26141616,5.942133855,7.640568,-0.04383682317557415,-0.3860029742453781
sh.601009,2541.0,6.423187864746163,1.821363825360039,2.94430719,5.06235516,6.03682868,7.75443784,11.70599601,0.46213717889665523,-0.5962474120887009
sh.601012,2536.0,20.90475905029574,18.464032620413146,1.9582016,5.4642373475,13.754073250000001,33.069788700000004,69.5284794,0.95418924407516,-0.4554126297012151
sh.601016,2533.0,3.361484931172522,1.5743101404393842,1.64280802,2.41552,3.00383798,3.71825182,12.84770286,2.6880092337412607,9.930336585533578
sh.601018,2411.0,3.807065948751555,0.9027084255420096,2.69587395,3.3298125,3.53479178,4.15479874,10.5938241,3.508696545413415,18.371540507712872
sh.601021,2512.0,45.6773330769785,9.782331858645433,12.29261815,36.03132432,46.816313005,53.89851531,66.38483882,-0.16871175200881264,-1.0582150082233521
sh.601059,585.0,15.69538540403419,1.8761736322981508,11.73391164,14.40869061,15.34890462,16.66907262,22.08503908,0.7748780400127165,0.6221698374964943
sh.601066,1705.0,24.791582241325514,8.344971667918527,5.7986624,21.3287623,24.31784902,27.57953016,55.54215408,0.507453135256982,1.6531626403951867
sh.601077,1375.0,3.749057455207273,1.0107196970997245,2.81425675,2.97091184,3.3696222,4.1358159,7.38408384,1.4548835997264002,1.587261374862206
sh.601088,2484.0,16.90168987619968,9.619904399771253,6.26979237,10.27396265,12.16931125,23.5563836025,40.2763284,1.0240330777097397,-0.2551652404360789
sh.601098,2548.0,9.948508737955258,2.2242189752423176,6.54946028,8.1540543,9.21216582,11.45856864,19.97424414,0.8487328176195779,0.5453622506254625
sh.601099,2532.0,3.8427347579462867,1.2418668369971841,1.97,3.1,3.62,4.18,9.91803024,2.0352961088928767,5.30919468447356
sh.601100,2509.0,38.4703303917776,28.928429334479585,4.13876178,8.65746495,42.426509,61.08430633,124.80150228,0.425832372362514,-0.9201744792117803
sh.601106,2539.0,4.008735722725483,2.336470269066326,2.2,2.88,3.15,3.995,20.98,3.488250166484128,14.949856908463419
sh.601108,1859.0,8.803258607294245,2.2760402990354014,5.60158755,7.21067164,8.25904512,9.5443234,20.26984608,1.8505278288090745,4.414005242231111
sh.601111,2526.0,8.459686143570863,1.481162352263921,5.79688452,7.3,8.1,9.3175,14.4544512,0.9274928912708541,0.3391788974896519
sh.601117,2545.0,6.4942103526444015,1.620518341122492,4.193532,5.1931069,6.03592261,7.57091856,13.68030488,0.9333634203850412,0.42206534218735703
sh.601118,2423.0,5.564025223454395,1.424482609145569,3.89454744,4.66946103,5.1552436,5.86736799,13.59051808,2.4649889993098997,7.528100800980681
sh.601127,2171.0,42.53256761383234,34.572304252278364,7.6050832,16.43199353,27.0876128,64.98053761,145.5943057,1.181140423963495,0.5064179553758352
sh.601136,608.0,19.245993170049342,3.1822300009758067,9.930081,17.150362015,19.68022163,21.340214,29.6206104,-0.2574129200315513,-0.20612283372742546
sh.601138,1712.0,13.943601118633179,4.7286159819356905,7.5559152,10.39100112,12.35307512,16.794190557500002,27.520507,0.8910705621168291,-0.2530414377072341
sh.601155,2313.0,21.628551045737137,10.118689380112011,7.33481805,12.8,20.78,30.10026075,48.5864448,0.4395838798157335,-0.8900135875145976
sh.601158,2541.0,4.814047280129871,0.6713931715207512,3.7368235,4.36827699,4.6997316,5.0840712,9.4210842,2.1892644500059304,8.390871369281285
sh.601162,1618.0,4.671982722249691,1.8004278725631386,2.13,3.06,4.28323825,5.8345509925,10.94040123,0.90963536879253,0.19476092245123633
sh.601163,2134.0,14.234628340524836,4.724651747699134,8.85509144,11.33890104,13.19767001,14.71832544,39.020388,2.2479176658733473,5.443143804161606
sh.601166,2543.0,12.960667837141173,2.8231017774148053,7.3885884,10.56152204,12.70652475,14.5262247,23.48129472,0.7595540648323874,0.38584379384093204
sh.601168,2354.0,8.768466386656755,3.921948801521416,4.10507704,5.330454012500001,7.781671155,11.22943445,19.6081093,0.7314531568296387,-0.5368591670762659
sh.601169,2509.0,4.175337160653648,0.697345108003113,2.9700972,3.58741,3.97259198,4.62154301,6.83607042,1.0200652363534777,0.44870310854932516
sh.601179,2548.0,5.037364459870487,1.3972943984800883,2.91878496,4.0925193725,4.848240215000001,5.5027491825,12.390882,1.393648148595037,3.174980588195886
sh.601186,2548.0,8.430179316126374,1.9248316420625189,6.11717286,7.205003705,7.99223824,9.16084582,20.67907023,2.5040108695612235,9.05609727214687
sh.601198,2507.0,12.458605791699242,4.996869798033449,7.04659877,8.86127316,10.75432236,14.827862625,36.80401044,1.5649537537231648,2.474867797843298
sh.601211,2413.0,14.570917803638622,1.80041217836884,10.88593652,13.41769338,14.153685,15.38797758,25.94354632,1.4152949191067226,3.4841406782429334
sh.601212,1991.0,3.75321912357107,1.9171301758668846,2.26,2.76,2.97,3.91,16.5391776,2.87212521169425,9.726923400815386
sh.601216,2451.0,3.4975553921868623,1.0879312922899593,1.69518744,2.5811145250000003,3.50801736,4.01407737,8.35919452,0.6941307144140507,0.8878495504262451
sh.601225,2548.0,9.310203938155416,6.473123775440174,2.2094196,4.73840948,5.8576596,14.995346335,25.78194948,0.9184749254894697,-0.5550145124496741
sh.601228,2004.0,3.773760688378244,1.2324984460630426,2.7323316,3.06691152,3.21165325,3.7938132,10.26081489,2.2657997904562106,5.201845554944715
sh.601229,2093.0,6.000115097262303,1.083279445528694,4.48755318,5.3357391,5.85238554,6.3202387,10.66948272,1.9733593014644475,4.865241584561488
sh.601231,2538.0,13.30209590510638,3.299271501535829,7.0332471,10.88101168,13.382093865,15.271289082500001,24.54983255,0.3213472364407047,-0.019860757726653855
sh.601236,1445.0,10.328102098214533,3.5556748320007596,4.17191532,7.54522375,8.58329275,12.19713138,22.29827538,1.0115869536187811,0.09549776208009053
sh.601238,2538.0,11.282346488762805,2.754160422038147,4.76949843,9.241974729999999,10.755536565,13.482713775,19.21677282,0.29364926623956317,-0.5655081230486547
sh.601258,2029.0,2.095905675278462,1.0990693588324387,0.4,1.25465787,1.65,2.74274046,7.76622697,1.556106135099651,3.147359582521236
sh.601288,2548.0,2.6301376532182106,0.8360105846249091,1.57142014,2.27526108,2.38589802,2.5589854350000003,5.86178272,1.8086356876186334,2.6104840761144703
sh.601298,1554.0,5.867048297220077,1.3521715559352585,4.25493978,4.8360385575,5.37820857,6.4391198775,9.62917111,1.0124968103520118,-0.3050089772736735
sh.601299,75.0,18.154933333333332,8.645511782536762,7.81,12.440000000000001,13.88,23.075000000000003,38.46,1.1150252069922102,-0.29317958611974904
sh.601318,2548.0,43.19927620436421,13.563534984844464,17.54852526,34.8347022975,41.99904378,52.822482945,73.72565774,0.16329654072608138,-0.8627679612175396
sh.601319,1604.0,5.5976216656670825,1.1462362713875864,3.76400488,4.7272308,5.31470085,6.291213745,10.78584742,0.8281105449522346,0.038812964909373804
sh.601328,2548.0,4.154279494364207,1.112193997569195,2.82964125,3.5009052,3.7699765100000002,4.105154987500001,8.13913152,1.7221290447869084,1.9228176806915038
sh.601333,2548.0,3.181872592123234,0.975889224425369,1.8276408,2.2678056,3.036272055,3.8020509,7.54321732,0.8843903113067066,1.0896811701417035
sh.601336,2523.0,36.99640719467697,7.571937517929567,21.03547722,31.234561415,35.8753883,41.951197205,58.21835684,0.3887007615050506,-0.5736758851437314
sh.601360,2424.0,14.929208821394388,8.203175117971748,6.1443476,9.873063244999999,12.00842028,18.3015857575,60.2291436,2.2320273239081034,6.304441796987339
sh.601375,2060.0,5.010838954320389,1.6432336007949206,3.2619345,3.89413515,4.55091624,5.31912646,12.49162278,1.934588870465563,3.4597821692504787
sh.601377,2530.0,6.388950782561266,1.5960505481990428,3.29333826,5.4554635975,6.0818544,6.890705755000001,13.99563878,1.747212080308447,4.4267779921941575
sh.601390,2462.0,6.068264522526401,1.7756909086961274,4.072375,5.00629098,5.68979704,6.670953895,17.3183548,2.9933575744571903,11.989160875880634
sh.601398,2548.0,3.858952425231554,0.9572810422296837,2.30557577,3.4835780875,3.74872812,4.0800553,7.4328932,1.3020360324413112,2.134169406192863
sh.601555,2530.0,7.895272288114625,2.471869401467635,3.81004825,6.342492345,7.438336595,8.559766815,20.72028798,2.316721985416416,7.102594663144458
sh.601577,1636.0,6.95273931423594,0.8228703514764866,5.32637588,6.38711472,6.87779128,7.31476868,10.12050945,0.8248350149192394,0.7366097741125874
sh.601600,2439.0,4.8346000877244775,1.476752761347881,2.57114825,3.66505496,4.5174768,5.7413349,9.88255891,0.7772807539274567,0.05141167595742324
sh.601601,2548.0,24.853270570302197,4.557699848901825,13.49978041,21.532506124999998,24.69792516,27.79176819,39.59389716,0.31578744515046336,-0.30898935701878916
